id,student_id,route_id,boarding_stop,academic_year,pass_type,status
bus-alloc-00001,STU-02867,route-10,Medchal,2023-2027,annual,active
bus-alloc-00002,STU-02119,route-06,Medchal Chowrasta,2023-2027,semester,active
bus-alloc-00003,STU-01310,route-10,Sangareddy Bypass,2024-2028,annual,active
bus-alloc-00004,STU-01269,route-03,Medchal,2024-2028,annual,active
bus-alloc-00005,STU-00001,route-05,Kandlakoya,2022-2026,annual,active
bus-alloc-00006,STU-02524,route-03,KPHB,2024-2028,annual,active
bus-alloc-00007,STU-00032,route-06,Medchal Market,2022-2026,semester,active
bus-alloc-00008,STU-02352,route-08,Hakimpet,2025-2029,semester,active
bus-alloc-00009,STU-01261,route-07,Medchal,2024-2028,semester,active
bus-alloc-00010,STU-02696,route-02,LB Nagar,2022-2026,semester,active
bus-alloc-00011,STU-01574,route-09,Kandlakoya,2024-2028,semester,active
bus-alloc-00012,STU-02975,route-06,Kandlakoya,2024-2028,semester,active
bus-alloc-00013,STU-01861,route-06,Medchal MMTS,2025-2029,annual,active
bus-alloc-00014,STU-02758,route-08,Kandlakoya,2022-2026,semester,active
bus-alloc-00015,STU-02412,route-02,Medchal,2022-2026,annual,active
bus-alloc-00016,STU-01558,route-07,BHEL Township,2023-2027,semester,active
bus-alloc-00017,STU-03259,route-05,Neredmet,2024-2028,semester,active
bus-alloc-00018,STU-03027,route-06,Medchal Market,2025-2029,semester,active
bus-alloc-00019,STU-03094,route-06,Medchal MMTS,2025-2029,annual,active
bus-alloc-00020,STU-01597,route-02,Kandlakoya,2024-2028,annual,active
bus-alloc-00021,STU-02073,route-02,Uppal,2023-2027,semester,active
bus-alloc-00022,STU-03061,route-08,Bolarum,2025-2029,semester,active
bus-alloc-00023,STU-02709,route-04,Kandlakoya,2022-2026,annual,active
bus-alloc-00024,STU-01636,route-05,AS Rao Nagar,2025-2029,semester,active
bus-alloc-00025,STU-01164,route-02,Alwal,2023-2027,semester,active
bus-alloc-00026,STU-00693,route-02,Alwal,2023-2027,annual,active
bus-alloc-00027,STU-03194,route-01,Yapral,2023-2027,semester,active
bus-alloc-00028,STU-01418,route-04,Bachupally,2025-2029,annual,active
bus-alloc-00029,STU-00033,route-02,Dilsukhnagar,2022-2026,annual,active
bus-alloc-00030,STU-00424,route-08,Bolarum,2025-2029,annual,active
bus-alloc-00031,STU-01326,route-10,Isnapur,2025-2029,semester,active
bus-alloc-00032,STU-02561,route-01,Secunderabad,2024-2028,semester,active
bus-alloc-00033,STU-02610,route-02,Medchal,2025-2029,annual,active
bus-alloc-00034,STU-01301,route-08,Bolarum,2024-2028,annual,active
bus-alloc-00035,STU-00446,route-07,Quthbullapur,2025-2029,annual,active
bus-alloc-00036,STU-01368,route-02,Alwal,2025-2029,semester,active
bus-alloc-00037,STU-00096,route-05,AS Rao Nagar,2022-2026,semester,active
bus-alloc-00038,STU-03140,route-03,Kukatpally,2022-2026,annual,active
bus-alloc-00039,STU-03016,route-09,Medchal,2025-2029,annual,active
bus-alloc-00040,STU-00761,route-10,Kandlakoya,2024-2028,annual,active
bus-alloc-00041,STU-02075,route-08,Lalapet,2023-2027,annual,active
bus-alloc-00042,STU-02625,route-03,Medchal,2025-2029,semester,active
bus-alloc-00043,STU-01841,route-04,Miyapur,2024-2028,annual,active
bus-alloc-00044,STU-01019,route-03,SR Nagar,2022-2026,semester,active
bus-alloc-00045,STU-02930,route-06,Kandlakoya,2024-2028,semester,active
bus-alloc-00046,STU-01948,route-03,KPHB,2022-2026,semester,active
bus-alloc-00047,STU-00056,route-02,ECIL,2022-2026,semester,active
bus-alloc-00048,STU-00894,route-01,Kandlakoya,2025-2029,semester,active
bus-alloc-00049,STU-03045,route-04,Medchal Chowrasta,2025-2029,annual,active
bus-alloc-00050,STU-00122,route-07,Dundigal,2023-2027,annual,active
bus-alloc-00051,STU-02973,route-04,Bachupally,2024-2028,semester,active
bus-alloc-00052,STU-03232,route-02,ECIL,2023-2027,semester,active
bus-alloc-00053,STU-01048,route-10,Patancheru,2022-2026,annual,active
bus-alloc-00054,STU-00216,route-06,Medchal Chowrasta,2023-2027,annual,active
bus-alloc-00055,STU-00557,route-07,Kandlakoya,2022-2026,semester,active
bus-alloc-00056,STU-00664,route-06,Medchal Market,2023-2027,semester,active
bus-alloc-00057,STU-03020,route-02,Dilsukhnagar,2025-2029,annual,active
bus-alloc-00058,STU-00471,route-01,Malkajgiri,2025-2029,annual,active
bus-alloc-00059,STU-00788,route-01,Secunderabad,2024-2028,semester,active
bus-alloc-00060,STU-01736,route-09,Suraram,2022-2026,semester,active
bus-alloc-00061,STU-01969,route-07,Medchal,2022-2026,annual,active
bus-alloc-00062,STU-03205,route-09,Medchal,2023-2027,annual,active
bus-alloc-00063,STU-01946,route-05,Sainikpuri,2022-2026,semester,active
bus-alloc-00064,STU-02077,route-02,ECIL,2023-2027,annual,active
bus-alloc-00065,STU-00545,route-09,Suraram,2022-2026,semester,active
bus-alloc-00066,STU-01749,route-10,Kandlakoya,2023-2027,annual,active
bus-alloc-00067,STU-03125,route-05,Kandlakoya,2022-2026,semester,active
bus-alloc-00068,STU-02665,route-04,Miyapur,2022-2026,annual,active
bus-alloc-00069,STU-03022,route-02,Medchal,2025-2029,annual,active
bus-alloc-00070,STU-02190,route-08,Medchal,2024-2028,annual,active
bus-alloc-00071,STU-01788,route-05,Kandlakoya,2023-2027,annual,active
bus-alloc-00072,STU-01536,route-02,Dilsukhnagar,2023-2027,annual,active
bus-alloc-00073,STU-00162,route-01,Trimulgherry,2023-2027,semester,active
bus-alloc-00074,STU-02231,route-06,Medchal Chowrasta,2024-2028,annual,active
bus-alloc-00075,STU-01076,route-06,Medchal Market,2022-2026,semester,active
