id,dept_id,dept_code,pso_number,code,title,description
pso-cse-01,dept-cse,CSE,1,PSO1,Core Computing Competence,"Apply fundamental knowledge of programming, data structures, algorithms, operating systems, and computer networks to design and develop efficient software systems."
pso-cse-02,dept-cse,CSE,2,PSO2,Software Engineering & Development,"Design, develop, test, and maintain software applications using industry-standard methodologies, tools, and best practices across the software development life cycle."
pso-cse-03,dept-cse,CSE,3,PSO3,Emerging Technology Adaptability,"Apply knowledge of cloud computing, cybersecurity, and modern frameworks to develop scalable, secure, and innovative technology solutions for real-world problems."
pso-et-01,dept-et,ET,1,PSO1,Intelligent Systems Design,"Design and develop intelligent systems leveraging AI, ML, data science, and IoT technologies to solve complex, data-driven problems in diverse domains."
pso-et-02,dept-et,ET,2,PSO2,Specialization Depth,"Demonstrate deep expertise in chosen specialization (AIML, Data Science, Cyber Security, IoT, or IT) by applying domain-specific tools, techniques, and frameworks."
pso-et-03,dept-et,ET,3,PSO3,Innovation & Entrepreneurship,Identify emerging technology trends and apply entrepreneurial thinking to design innovative products and solutions that create societal and economic value.
pso-ece-01,dept-ece,ECE,1,PSO1,Electronics & Circuit Design,"Analyze, design, and implement analog and digital electronic circuits and systems using standard EDA tools and hardware description languages."
pso-ece-02,dept-ece,ECE,2,PSO2,Signal Processing & Communication Systems,Apply signal processing techniques and communication system design principles to develop efficient wireless and wired communication solutions.
pso-ece-03,dept-ece,ECE,3,PSO3,Embedded & VLSI Systems,"Design and develop embedded systems and VLSI circuits for applications in consumer electronics, industrial automation, and smart devices."
pso-eee-01,dept-eee,EEE,1,PSO1,Electrical Machines & Power Systems,"Analyze and design electrical machines, power systems, and power electronics circuits for efficient energy generation, transmission, and utilization."
pso-eee-02,dept-eee,EEE,2,PSO2,Control & Automation,"Apply control theory and industrial automation techniques to design smart, energy-efficient systems for industrial and renewable energy applications."
pso-mech-01,dept-mech,MECH,1,PSO1,Design & Manufacturing,"Apply principles of engineering design, CAD/CAM tools, and manufacturing processes to develop mechanical components and systems meeting functional and quality requirements."
pso-mech-02,dept-mech,MECH,2,PSO2,Thermal & Fluid Systems,"Analyze and design thermal and fluid systems including IC engines, turbomachinery, HVAC, and heat exchangers using simulation and experimental methods."
pso-mech-03,dept-mech,MECH,3,PSO3,Industrial & Automation Engineering,"Apply lean manufacturing, robotics, and automation principles to optimize production processes and develop smart manufacturing solutions."
pso-civil-01,dept-civil,CIVIL,1,PSO1,Structural Analysis & Design,"Analyze and design structural systems for buildings, bridges, and infrastructure using standard codes, software tools, and material science principles."
pso-civil-02,dept-civil,CIVIL,2,PSO2,Environmental & Geotechnical Engineering,"Apply geotechnical investigation techniques and environmental engineering concepts to address foundation design, soil stability, water resource management, and sustainable infrastructure development."
