id,department_id,college_id,code,description
po-01,dept-cse,aits-hyd-001,PO1,"Apply knowledge of mathematics, science, engineering fundamentals, and an engineering specialization to the solution of complex engineering problems."
po-02,dept-cse,aits-hyd-001,PO2,"Identify, formulate, review research literature, and analyze complex engineering problems reaching substantiated conclusions using first principles of mathematics, natural sciences, and engineering sciences."
po-03,dept-cse,aits-hyd-001,PO3,"Design solutions for complex engineering problems and design system components or processes that meet the specified needs with appropriate consideration for the public health and safety, and the cultural, societal, and environmental considerations."
po-04,dept-cse,aits-hyd-001,PO4,"Use research-based knowledge and research methods including design of experiments, analysis and interpretation of data, and synthesis of the information to provide valid conclusions."
po-05,dept-cse,aits-hyd-001,PO5,"Create, select, and apply appropriate techniques, resources, and modern engineering and IT tools including prediction and modeling to complex engineering activities with an understanding of the limitations."
po-06,dept-cse,aits-hyd-001,PO6,"Apply reasoning informed by the contextual knowledge to assess societal, health, safety, legal, and cultural issues and the consequent responsibilities relevant to the professional engineering practice."
po-07,dept-cse,aits-hyd-001,PO7,"Understand the impact of the professional engineering solutions in societal and environmental contexts, and demonstrate the knowledge of, and need for sustainable development."
po-08,dept-cse,aits-hyd-001,PO8,Apply ethical principles and commit to professional ethics and responsibilities and norms of the engineering practice.
po-09,dept-cse,aits-hyd-001,PO9,"Function effectively as an individual, and as a member or leader in diverse teams, and in multidisciplinary settings."
po-10,dept-cse,aits-hyd-001,PO10,"Communicate effectively on complex engineering activities with the engineering community and with society at large, such as, being able to comprehend and write effective reports and design documentation, make effective presentations, and give and receive clear instructions."
po-11,dept-cse,aits-hyd-001,PO11,"Demonstrate knowledge and understanding of the engineering and management principles and apply these to one's own work, as a member and leader in a team, to manage projects and in multidisciplinary environments."
po-12,dept-cse,aits-hyd-001,PO12,"Recognize the need for, and have the preparation and ability to engage in independent and life-long learning in the broadest context of technological change."
